Stat_ID;Easting_X;Norting_Y;Altitude;Longitude;Latitude;catArea;flowAcc;rel_err[%];row;column;Bl_ID;Start_Date;End_Date;State;data_avail;nxtGage;Station_Name;River;dem_mean;dem_std;dem_min;dem_max;LC-forest;LC-impervious;LC-permeable;WB_from_year;WB_to_year;Qobs[mm_a-1];Precip[mm_a-1];PET[mm_a-1];NSE-Q_v4.3_d;Qsim[mm_a-1];AET[mm_a-1]
9316457;4271877.2;5523971.81;159.45;8.83;49.81;151;155.2;2.77;5961;2339;18;1960-11-01;2007-10-31;DE;99.84%;-999;GROSS-BIEBERAU;GERSPRENZ;287.67;84.75;159.74;599.16;34.73;4.71;60.56;1961;2006;357.07;951.92;734.76;0.77;430.39;523.18
9316458;4284150;5541950;119.84;8.99;49.97;461;470.2;1.99;5781;2462;18;1955-11-01;2007-10-31;DE;99.86%;-999;HARRESHAUSEN;GERSPRENZ;214.13;82.01;119.09;599.16;34.66;9.42;55.93;1956;2006;214.5;813.09;762.29;0.62;290.64;523.79
9316460;4299850;5509550;197.72;9.22;49.69;396;405.2;2.32;6105;2619;19;1960-01-01;1995-12-31;DE;100.00%;-999;WEILBACH;MUD;389.53;83.07;130.89;549.62;61.35;4.41;34.24;1960;1995;269.55;877.3;758.05;0.72;338.85;539.01
9316463;4336050;5491650;206.5;9.71;49.53;1099.9;1072.2;2.52;6284;2981;19;1968-01-01;1996-12-31;DE;100.00%;-999;SACHSENFLUR;UMPFER;374.68;62.79;190.09;545.97;18.89;3.01;78.10;1968;1996;20.41;704.72;775.63;-103.79;187.29;519.34
9316464;4250150;5341950;549.47;8.64;48.17;454;458.4;0.97;7781;2122;20;1938-11-01;1996-10-31;DE;99.57%;-999;ROTTWEIL;NECKAR;701.65;58.28;556.14;1015.12;34.01;10.72;55.27;1955;1995;347.26;942.04;739.2;0.65;405.66;549.19
9316466;4256350;5373050;385.15;8.71;48.45;1119;1124.5;0.49;7470;2184;20;1931-11-01;1996-10-31;DE;98.84%;-999;HORB;NECKAR;653.01;85.93;385.80;1015.12;34.88;9.19;55.93;1955;1995;404.34;1002.46;741.61;0.77;467.59;550.95
9316470;4289050;5380750;-99;9.13;48.53;139;135.5;2.5;7393;2511;20;1961-05-01;1994-05-31;DE;99.97%;-999;TUEBINGEN-BLAESIBERG;STEINLACH;528.70;144.07;312.41;859.50;34.60;22.60;42.79;1962;1993;402.28;872.47;772.97;0.42;327.96;551.17
9316471;4246750;5365250;428.1;8.58;48.38;202;206.4;2.19;7548;2088;20;1928-11-01;2007-10-31;DE;99.09%;-999;HOPFAU;GLATT;645.52;60.07;432.99;844.21;36.94;7.30;55.75;1955;2006;634.78;1267.3;729.51;0.72;759.22;553.17
9316473;4276250.84;5381247.26;348.6;8.97;48.53;133;134.1;0.8;7388;2383;20;1911-11-01;1996-10-31;DE;99.70%;-999;PFAEFFINGEN;AMMER;457.20;53.85;347.51;604.36;9.64;13.04;77.33;1955;1995;251.7;765.92;796.93;0.31;196.2;569.51
9316474;4301850;5392650;-99;9.33;48.64;161.3;177.3;9.91;7274;2639;20;1910-11-01;1996-10-31;DE;99.32%;-999;WANNWEIL;ECHAZ;428.50;48.94;287.00;581.80;49.73;11.53;38.74;1955;1995;482.88;772.6;790.12;-0.11;198.42;574.13
